rank,domain,store_url,estimated_visitors_per_day,global_popularity_rank,ip,myipms_site_id,source,record_update_time
2,pch.com,https://pch.com,210000,1801,23.227.38.65,421,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
4,barnesandnoble.com,https://barnesandnoble.com,168000,2588,23.227.38.65,747,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
6,jbhifi.com.au,https://jbhifi.com.au,73000,4255,23.227.38.32,16861,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
8,matchesfashion.com,https://matchesfashion.com,37500,5708,23.227.38.65,12687,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
9,burton.com,https://burton.com,37400,5760,23.227.38.74,33107,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
11,fashionnova.com,https://fashionnova.com,29700,8434,23.227.38.32,4213441,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
12,bodybuilding.com,https://bodybuilding.com,25300,9662,23.227.38.65,709,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
13,skims.com,https://skims.com,25500,9835,23.227.38.65,17900637,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
14,indigo.ca,https://indigo.ca,24800,10310,23.227.38.65,10640,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
15,snitch.co.in,https://snitch.co.in,24600,10620,23.227.38.32,20817850,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
16,boat-lifestyle.com,https://boat-lifestyle.com,24500,11347,23.227.38.32,8091805,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
17,zulily.com,https://zulily.com,24400,11523,23.227.38.65,1621,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
18,greatergood.com,https://greatergood.com,24300,11540,23.227.38.65,42109,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
20,keychron.com,https://keychron.com,23900,12736,23.227.38.32,15599464,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
21,fearofgod.com,https://fearofgod.com,23700,13300,23.227.38.65,7089664,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 12:21"
22,society6.com,https://society6.com,23600,13528,23.227.38.71,5718,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
23,fangpi.net,https://fangpi.net,23300,13798,23.227.38.33,18040300,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
24,daisonet.com,https://daisonet.com,23300,14224,23.227.38.65,21491565,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
26,pimax.com,https://pimax.com,23000,14983,23.227.38.65,18334450,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
27,nzxt.com,https://nzxt.com,22800,15100,23.227.38.65,84327,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
28,mamaearth.in,https://mamaearth.in,22800,15160,23.227.38.65,9546413,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
29,softwarekeep.com,https://softwarekeep.com,22300,16214,23.227.38.65,8202553,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
30,wyze.com,https://wyze.com,22400,16597,23.227.38.33,16110218,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
31,sreeleathers.com,https://sreeleathers.com,21300,18746,23.227.38.65,412941,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
32,louisck.com,https://louisck.com,21300,18757,23.227.38.65,1226502,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
33,thegoodguys.com.au,https://thegoodguys.com.au,21200,18921,23.227.38.65,43395,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
34,karl.com,https://karl.com,21400,18962,23.227.38.65,403604,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 05:27"
35,derimod.com.tr,https://derimod.com.tr,21200,19028,23.227.38.45,723798,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
36,decathlon.com,https://decathlon.com,20900,19782,23.227.38.32,112237,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
37,advwin.com.au,https://advwin.com.au,20900,19804,23.227.38.32,23005426,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
38,americanmeadows.com,https://americanmeadows.com,20300,21142,23.227.38.65,154351,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
39,piccalio.com,https://piccalio.com,20500,21283,23.227.38.32,23031171,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
40,dickies.com,https://dickies.com,19900,22010,23.227.38.65,57653,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
41,okbands.com,https://okbands.com,20000,22450,23.227.38.32,20172047,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
42,empava.com,https://empava.com,19700,22582,23.227.38.65,17823776,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
43,goatguns.com,https://goatguns.com,19600,22837,23.227.38.74,9747591,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
44,time4learning.com,https://time4learning.com,19600,22863,23.227.38.65,39300,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
45,seemoorg.com,https://seemoorg.com,19500,22975,23.227.38.32,26140841,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
46,bluhouzz.com,https://bluhouzz.com,19700,23152,23.227.38.65,26140809,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
48,rudsak.com,https://rudsak.com,19400,23419,23.227.38.64,2768661,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
49,boministore.com,https://boministore.com,19600,23433,23.227.38.65,22863600,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
50,highcountrygardens.com,https://highcountrygardens.com,19300,23534,23.227.38.65,265119,MyIP.ms Shopify Inc hosting ranked sites,"15 Jul 2026, 02:42"
